,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
8,622795,696,2023,6,6,14,8,0,0,15,10,0,23,2,81,379,22.1,0,2,0,0,0,0,9,98,67,6,0,0,218,0,1,0,0,0,0,0,2,3,22,1,1,0,6,1,0,3,20,164,28,71,14,21,7,1,19,6,1,11,5,MAG,,3.63,1.48,.280,16.97,6.04,4.03,1.50,0.00,15.3,10.2,5.1,24,8,12,27,.330,60.0,3.96,4.62,5.07,138,126,108,97,0.89,16.9,33.8,38.0,11.3,0.00,161,136,57.5,42.5,17.1,7.4,14.2
58,624000,692,2023,28,0,16,3,2,1,9,18,0,17,2,72,371,21.0,0,0,0,1,1,1,14,97,63,28,0,0,209,0,1,0,4,32,14,0,1,4,21,0,15,10,1,0,0,3,18,146,25,68,12,19,3,2,27,2,0,8,7,ZUL,,6.00,1.67,.240,17.67,3.86,7.71,0.50,0.43,9.3,18.6,-9.3,34,3,10,21,.240,59.0,6.31,6.23,6.49,83,79,80,76,1.62,14.7,50.0,30.9,4.4,0.05,162,121,56.3,43.7,17.1,6.7,17.0
224,624586,693,2023,15,0,7,0,0,0,9,7,2,16,1,52,201,12.2,1,1,0,1,1,1,6,61,38,15,0,0,116,0,2,0,2,2,0,0,1,0,12,2,11,3,2,0,0,2,11,89,23,44,2,5,2,3,18,0,0,9,7,LAR,,4.26,1.82,.310,15.87,6.39,4.97,1.29,0.00,14.8,11.5,3.3,25,2,12,5,.370,70.8,4.16,4.38,4.25,117,120,114,115,5.00,27.3,56.8,11.4,4.5,0.00,85,66,57.7,42.3,25.8,11.4,13.4
95,625349,697,2023,2,0,2,1,0,1,1,1,0,3,1,8,34,1.2,1,0,0,1,0,1,2,10,5,2,0,0,21,0,0,0,0,3,2,0,0,0,1,2,2,0,0,0,0,0,0,15,3,7,3,1,2,0,1,1,0,1,1,MAR,,10.80,2.40,.380,20.40,5.40,5.40,1.00,5.40,10.0,10.0,0.0,2,2,1,2,.330,83.3,13.89,6.74,6.21,46,36,74,79,1.00,14.3,28.6,28.6,28.6,0.50,13,12,61.8,38.2,20.0,8.8,17.6
142,627218,694,2023,22,0,13,7,0,2,13,7,0,37,2,106,400,25.1,1,1,0,1,2,1,12,118,76,22,0,0,259,0,0,0,0,15,9,0,0,3,25,1,11,1,0,1,0,8,25,190,33,96,8,17,5,1,36,4,0,21,12,ORI,,4.26,1.74,.350,15.79,4.62,2.49,1.86,0.71,11.0,5.9,5.1,48,5,22,21,.370,76.4,4.76,4.18,4.62,117,105,120,106,2.29,22.9,50.0,21.9,5.2,0.10,141,157,64.8,35.2,17.4,8.2,17.2
34,629500,696,2023,6,0,8,1,0,3,3,3,0,9,1,20,94,3.2,0,0,0,0,0,0,8,24,11,6,0,0,49,0,1,0,0,3,1,0,0,0,3,2,6,3,0,0,0,0,6,37,5,17,0,6,0,0,2,3,0,4,2,MAG,,19.64,3.27,.450,25.64,7.36,7.36,1.00,7.36,12.5,12.5,0.0,4,0,4,9,.430,56.8,15.96,6.66,6.12,25,31,75,80,0.44,23.5,23.5,52.9,0.0,0.33,45,32,52.1,47.9,13.5,5.3,12.8
81,629845,697,2023,14,0,7,3,0,0,9,9,1,14,0,56,236,15.0,0,0,0,0,1,0,7,67,45,14,0,0,150,0,0,0,4,5,4,0,1,1,15,0,5,5,1,1,0,1,14,111,19,49,8,17,5,3,10,2,0,9,3,MAR,,4.20,1.53,.250,15.73,5.40,5.40,1.00,0.00,13.4,13.4,0.0,13,5,12,19,.290,69.6,4.29,4.98,5.91,119,117,100,83,0.68,24.5,26.5,38.8,10.2,0.00,86,92,63.6,36.4,17.1,8.1,16.5
246,630023,699,2023,3,3,3,1,1,0,7,1,0,9,1,46,186,12.1,0,1,0,0,0,0,3,48,37,3,0,0,124,0,0,0,0,0,0,0,0,0,12,1,1,1,0,1,0,0,8,92,20,39,9,10,4,1,15,1,0,6,2,ARA,,2.19,0.81,.200,15.08,5.11,0.73,7.00,0.00,14.6,2.1,12.5,17,4,7,11,.230,72.7,3.04,3.53,4.04,228,164,142,121,1.55,17.9,43.6,28.2,10.3,0.00,62,72,66.7,33.3,21.7,10.8,17.2
146,640959,694,2023,13,9,29,16,0,1,16,11,0,64,2,180,666,40.2,0,3,0,0,1,0,24,197,122,13,0,0,433,0,1,1,0,3,0,1,1,2,40,2,10,4,4,0,0,4,34,324,54,167,22,24,13,6,60,11,0,33,20,ORI,,5.31,1.84,.360,16.38,3.54,2.43,1.45,0.22,8.1,5.6,2.5,80,13,39,35,.380,63.5,4.18,4.33,5.06,94,120,115,97,2.29,23.4,47.9,21.0,7.8,0.03,233,270,65.0,35.0,16.7,8.1,16.4
28,642177,696,2023,9,0,9,2,0,2,3,4,0,10,2,29,130,7.1,0,1,0,0,2,0,7,38,22,9,0,0,77,0,1,0,1,9,5,0,1,2,7,1,6,3,2,1,0,0,10,60,12,29,1,6,3,0,10,4,0,4,2,MAG,,8.59,1.91,.340,17.73,3.68,4.91,0.75,2.45,7.9,10.5,-2.6,12,3,4,10,.310,53.0,8.87,6.07,6.10,58,56,82,80,1.20,13.8,41.4,34.5,10.3,0.20,53,48,59.2,40.8,20.0,9.2,13.1
82,642381,697,2023,24,1,11,3,0,2,9,9,0,23,1,80,357,21.0,3,0,0,3,4,3,10,93,63,24,0,0,227,0,0,0,1,22,9,0,1,2,21,0,10,3,1,1,0,2,15,165,20,74,11,14,4,3,30,4,0,8,11,MAR,,4.29,1.52,.290,17.00,3.86,3.86,1.00,0.86,9.7,9.7,0.0,41,4,11,18,.300,72.8,5.50,4.73,5.12,117,91,106,96,2.28,14.9,55.4,24.3,5.4,0.11,130,145,63.6,36.4,12.1,5.6,17.4
267,642396,699,2023,10,0,8,2,0,1,2,4,0,13,0,36,147,9.0,0,0,0,1,0,1,8,40,27,10,0,0,86,0,3,0,3,12,7,0,0,0,9,0,2,1,1,0,0,5,17,69,14,34,1,8,2,0,11,3,0,5,5,ARA,,8.00,1.89,.360,16.33,2.00,4.00,0.50,1.00,5.0,10.0,-5.0,16,2,5,11,.360,57.7,6.02,5.24,6.28,62,83,95,78,1.45,14.7,47.1,32.4,5.9,0.09,61,55,58.5,41.5,20.3,9.5,11.6
133,642508,695,2023,1,0,1,1,0,0,0,1,0,2,0,3,17,0.1,0,0,0,0,0,0,1,4,1,1,0,0,9,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,1,8,3,3,2,0,0,0,1,1,0,1,0,CAR,,27.00,9.00,.670,51.00,0.00,27.00,0.00,0.00,0.0,25.0,-25.0,1,0,1,1,.670,66.7,12.69,14.32,9.00,19,39,35,54,1.00,33.3,33.3,33.3,0.0,0.00,8,5,52.9,47.1,37.5,17.6,5.9
255,642508,699,2023,6,0,3,1,0,1,3,2,0,6,0,23,90,6.1,1,0,0,0,0,0,3,25,19,6,0,0,56,0,0,0,1,12,4,0,0,0,6,1,0,0,0,0,0,2,6,39,9,20,5,3,1,1,9,3,0,0,3,ARA,,4.26,1.26,.260,14.21,4.26,2.84,1.50,1.42,12.0,8.0,4.0,12,1,1,6,.260,75.8,5.74,4.21,4.65,117,87,119,105,2.00,5.0,60.0,30.0,5.0,0.17,34,30,62.2,37.8,23.1,10.0,18.9
8,642508,,2023,7,0,4,2,0,1,3,3,0,8,0,26,107,6.2,1,0,0,0,0,0,4,29,20,7,0,0,65,0,0,0,1,14,4,0,0,0,6,2,2,1,0,0,0,2,7,47,12,23,7,3,1,1,10,4,0,1,3,2 Teams,2,5.40,1.65,.310,16.05,4.05,4.05,1.00,1.35,10.3,10.3,0.0,13,1,2,7,.320,72.9,6.09,4.71,5.22,93,82,106,94,1.86,8.7,56.5,30.4,4.3,0.14,42,35,60.7,39.3,25.5,11.2,16.8
169,642511,698,2023,29,0,5,3,1,0,23,16,1,20,1,102,468,30.2,4,1,3,4,7,1,5,120,92,29,0,0,307,0,2,1,7,5,1,0,1,0,30,2,6,3,2,0,0,5,17,214,49,80,17,31,6,4,19,2,0,8,10,LAG,,1.47,1.17,.200,15.26,6.75,4.70,1.44,0.00,19.2,13.3,5.9,29,6,12,33,.250,86.5,3.85,4.44,4.79,340,130,113,102,0.88,15.0,36.2,41.2,7.5,0.00,161,165,65.6,34.4,22.9,10.5,19.9
102,642568,697,2023,3,0,8,0,0,1,2,5,0,4,0,7,52,1.1,0,1,0,1,1,1,7,13,4,3,0,0,23,0,1,0,1,0,0,0,0,1,1,1,5,3,0,0,0,0,4,15,2,6,0,2,0,0,0,1,0,0,3,MAR,,47.25,6.75,.570,39.00,13.50,33.75,0.40,6.75,15.4,38.5,-23.1,3,0,0,3,.600,13.2,21.69,13.16,8.11,11,23,38,60,1.00,0.0,50.0,50.0,0.0,0.33,29,13,44.2,55.8,13.3,3.8,15.4
179,642570,698,2023,2,0,1,1,0,0,2,1,0,2,0,7,28,2.0,0,0,0,0,0,0,1,8,6,2,0,0,18,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,3,12,4,5,2,3,0,0,0,0,0,1,1,LAG,,4.50,1.50,.290,14.00,9.00,4.50,2.00,0.00,25.0,12.5,12.5,1,0,1,3,.400,66.7,3.19,4.01,4.22,111,157,125,116,0.33,20.0,20.0,60.0,0.0,0.00,10,8,64.3,35.7,33.3,14.3,21.4
79,642582,697,2023,16,0,8,5,0,2,6,2,0,16,0,61,220,15.2,1,0,0,0,2,0,7,65,47,16,0,0,141,0,1,0,3,19,7,0,1,1,15,2,3,2,0,0,0,2,13,107,16,57,13,18,6,1,16,5,0,6,5,MAR,,4.02,1.15,.260,14.04,3.45,1.15,3.00,1.15,9.2,3.1,6.1,21,6,7,23,.260,65.8,4.97,4.11,5.23,124,101,122,94,0.91,12.3,36.8,40.4,10.5,0.09,79,91,64.1,35.9,15.0,7.3,15.5
234,642657,693,2023,8,0,5,3,0,0,4,5,0,7,4,23,135,6.0,1,1,0,1,1,1,5,33,18,8,0,0,70,0,3,0,1,3,3,0,0,1,6,0,9,3,0,0,0,1,3,48,11,20,4,4,2,1,6,1,0,3,3,LAR,,7.50,2.00,.300,22.50,6.00,7.50,0.80,0.00,12.1,15.2,-3.1,9,2,4,5,.350,68.8,6.86,7.31,5.82,67,73,68,84,1.80,20.0,45.0,25.0,10.0,0.00,65,37,51.9,48.1,22.9,8.1,16.3
221,642857,693,2023,26,0,10,5,0,2,11,6,2,26,0,87,302,23.1,4,2,0,4,7,4,10,97,70,26,0,0,211,0,2,0,2,23,9,0,4,0,23,1,9,2,0,1,0,5,18,168,21,80,29,11,4,2,37,2,0,15,9,LAR,,3.86,1.37,.300,12.94,4.24,2.31,1.83,0.77,11.3,6.2,5.1,46,4,17,13,.320,75.3,4.63,3.82,4.12,130,108,131,119,3.54,21.2,57.5,16.2,5.0,0.15,91,147,69.9,30.1,12.5,7.0,14.2
16,644403,696,2023,12,12,31,7,1,3,40,21,0,51,3,185,823,48.0,2,4,0,0,0,0,29,210,144,12,0,0,494,0,3,1,0,0,0,0,0,1,48,0,17,12,0,0,1,7,40,358,95,146,26,36,10,4,45,8,0,28,15,MAG,,5.44,1.50,.280,17.15,7.50,3.94,1.90,0.56,19.0,10.0,9.0,60,10,32,44,.340,62.1,4.34,4.02,4.31,92,115,124,114,1.36,21.9,41.1,30.1,6.8,0.07,329,263,60.0,40.0,26.5,11.5,16.5
243,644429,699,2023,1,0,0,0,0,0,1,1,0,0,0,2,15,1.0,0,0,0,0,0,0,0,3,3,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,2,1,0,0,0,0,1,0,0,0,0,ARA,,0.00,1.00,.000,15.00,9.00,9.00,1.00,0.00,33.3,33.3,0.0,1,0,0,0,.000,100.0,4.69,4.69,4.33,0,107,107,113,inf,0.0,100.0,0.0,0.0,nan,7,4,53.3,46.7,33.3,13.3,13.3
24,646241,696,2023,9,9,29,6,1,3,24,10,0,46,3,148,586,35.2,0,2,0,0,0,0,27,164,107,9,0,0,369,0,3,0,0,0,0,0,0,3,35,2,10,4,8,3,1,3,24,275,50,127,24,32,9,2,38,6,0,20,20,MAG,,6.81,1.57,.310,16.43,6.06,2.52,2.40,0.76,14.6,6.1,8.5,58,9,22,38,.350,54.7,4.53,4.02,4.44,73,110,124,110,1.53,17.3,45.7,29.9,7.1,0.08,217,225,63.0,37.0,18.2,8.5,16.0
22,650142,696,2023,10,0,5,1,0,2,3,6,0,7,1,28,144,7.1,0,0,0,0,0,0,5,36,22,10,0,0,90,0,2,0,1,7,4,0,0,1,7,1,2,2,0,0,0,0,5,72,13,26,0,7,1,2,9,3,0,2,2,MAG,,6.14,1.77,.250,19.64,3.68,7.36,0.50,2.45,8.3,16.7,-8.4,11,1,4,10,.210,80.4,9.28,6.48,6.69,81,54,77,73,1.10,15.4,42.3,38.5,3.8,0.20,54,59,62.5,37.5,18.1,9.0,12.5
166,650347,698,2023,1,0,0,0,0,0,0,0,0,0,0,3,12,1.0,0,0,0,0,0,0,0,3,3,1,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,3,0,0,1,0,2,0,0,0,0,LAG,,0.00,0.00,.000,12.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,2,1,0,0,.000,nan,3.69,3.69,4.79,0,136,136,102,inf,0.0,66.7,0.0,33.3,nan,4,5,66.7,33.3,37.5,25.0,0.0
69,650356,692,2023,3,1,6,1,1,1,1,1,0,6,0,12,53,2.0,1,1,0,0,0,0,6,13,6,3,0,0,30,0,0,0,0,4,3,0,0,0,2,0,1,1,0,0,0,0,0,20,1,11,1,3,0,0,2,3,0,1,2,ZUL,,27.00,3.50,.500,26.50,4.50,4.50,1.00,4.50,7.7,7.7,0.0,4,0,1,6,.500,17.9,10.69,5.82,6.15,19,47,86,80,0.67,9.1,36.4,54.5,0.0,0.17,23,19,56.6,43.4,5.0,1.9,18.9
196,650689,698,2023,6,4,10,3,1,1,7,5,0,17,0,49,213,12.0,0,0,0,0,0,0,10,54,36,6,0,0,136,0,2,0,0,0,0,0,0,0,12,0,3,2,2,1,0,4,15,91,10,42,14,10,2,1,12,4,0,8,5,LAG,,7.50,1.83,.350,17.75,5.25,3.75,1.40,0.75,13.0,9.3,3.7,17,2,9,14,.390,58.3,4.86,4.41,5.11,67,103,113,96,1.21,21.4,40.5,33.3,4.8,0.07,77,81,63.8,36.2,11.0,4.7,21.1
139,650813,694,2023,10,9,21,7,0,8,21,16,0,45,1,153,630,37.2,0,2,0,0,0,0,16,170,113,10,0,0,368,0,0,0,0,0,0,0,0,0,37,2,10,1,4,2,0,5,26,275,51,132,11,35,7,8,37,6,0,20,19,ORI,,3.82,1.62,.290,16.73,5.02,3.82,1.31,1.91,12.4,9.4,3.0,56,7,28,41,.300,80.7,6.69,4.52,5.17,131,75,111,95,1.37,21.2,42.4,31.1,5.3,0.20,262,224,58.4,41.6,18.5,8.1,14.8
202,655313,698,2023,1,0,1,0,1,0,0,0,0,2,0,3,11,0.2,0,0,0,0,0,0,1,4,2,1,0,0,10,0,0,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,1,8,1,4,0,2,0,0,0,1,0,1,0,LAG,,13.50,3.00,.670,16.50,0.00,0.00,nan,0.00,0.0,0.0,0.0,0,0,1,3,.500,50.0,3.69,6.14,11.29,37,136,81,43,0.00,25.0,0.0,75.0,0.0,0.00,1,7,90.9,9.1,12.5,9.1,18.2
12,656032,696,2023,10,0,5,2,0,1,9,3,0,10,0,35,169,9.2,0,0,0,0,1,0,5,41,29,10,0,0,106,0,0,1,3,8,6,0,1,2,9,2,2,2,0,1,0,0,7,77,14,29,5,7,1,1,10,3,0,2,5,MAG,,4.66,1.34,.290,17.48,8.38,2.79,3.00,0.93,22.0,7.3,14.7,15,1,3,10,.330,69.0,4.10,3.32,3.56,107,122,151,138,1.50,10.3,51.7,34.5,3.4,0.10,63,63,62.7,37.3,18.2,8.3,17.2
20,656671,696,2023,13,3,15,7,0,2,12,9,0,26,0,77,326,18.1,0,1,0,0,1,0,12,89,55,13,0,0,200,0,3,1,0,1,0,0,0,3,18,1,9,1,1,2,0,1,14,153,34,68,8,13,5,2,22,5,0,13,8,MAG,,5.89,1.91,.340,17.78,5.89,4.42,1.33,0.98,13.5,10.1,3.4,30,5,15,18,.360,62.1,5.27,4.39,5.03,85,95,114,97,1.67,22.1,44.1,26.5,7.4,0.11,126,119,61.3,38.7,22.2,10.4,14.4
215,657611,693,2023,14,0,5,3,0,0,10,4,0,17,0,56,211,15.0,2,0,0,0,4,0,5,60,45,14,0,0,144,0,2,0,1,15,5,0,0,0,15,0,4,0,0,0,0,3,8,114,29,46,11,9,5,3,12,5,0,9,3,LAR,,3.00,1.40,.300,14.07,6.00,2.40,2.50,0.00,16.7,6.7,10.0,15,5,12,14,.370,76.2,3.16,3.66,4.35,167,158,137,113,1.07,26.1,32.6,30.4,10.9,0.00,67,85,68.2,31.8,25.4,13.7,14.2
251,658648,699,2023,3,3,4,3,0,1,11,6,0,7,2,36,161,11.1,1,0,0,0,0,0,4,46,34,3,0,0,95,0,1,0,0,0,0,0,2,0,11,1,1,0,0,0,0,2,7,71,23,27,10,7,1,1,11,1,0,3,3,ARA,,3.18,1.15,.190,14.21,8.74,4.76,1.83,0.79,23.9,13.0,10.9,14,1,4,8,.250,80.9,5.01,4.25,3.92,157,100,118,125,1.75,14.8,51.9,29.6,3.7,0.12,66,48,59.0,41.0,32.4,14.3,14.9
223,659262,693,2023,8,8,20,3,2,3,28,12,1,50,6,158,629,39.0,4,2,0,0,0,0,17,176,117,8,0,0,402,0,0,1,0,0,0,0,0,0,39,0,4,1,2,5,2,6,31,296,61,130,22,15,6,5,54,11,0,18,21,LAR,,3.92,1.59,.320,16.13,6.46,2.77,2.33,0.69,15.9,6.8,9.1,75,6,23,26,.370,75.2,4.64,4.00,3.87,128,108,125,127,2.88,17.7,57.7,20.0,4.6,0.12,227,235,63.9,36.1,20.6,9.7,16.9
111,660508,695,2023,26,0,10,6,2,0,23,9,1,19,1,93,375,26.0,2,2,1,5,7,4,10,106,78,26,0,0,243,0,2,0,4,26,13,0,0,3,26,0,8,5,1,2,0,1,18,185,54,73,12,17,9,0,28,4,0,9,6,CAR,,3.46,1.08,.200,14.42,7.96,3.12,2.56,0.00,21.7,8.5,13.2,34,9,9,21,.260,65.5,3.07,3.51,3.78,145,163,142,130,1.62,12.3,46.6,28.8,12.3,0.00,132,131,64.8,35.2,29.2,14.4,15.5
183,660522,698,2023,21,0,8,2,1,2,5,11,0,16,1,53,244,14.2,4,1,0,1,1,1,8,66,44,21,0,0,140,0,3,0,1,35,9,0,0,1,14,2,6,0,0,0,0,3,20,98,15,49,24,13,5,2,13,5,0,6,5,LAG,,4.91,1.84,.300,16.64,3.07,6.75,0.45,1.23,7.6,16.7,-9.1,18,5,8,18,.300,79.4,7.24,6.13,6.99,102,69,82,70,1.00,16.3,36.7,36.7,10.2,0.11,104,83,57.4,42.6,15.3,6.1,17.2
14,660671,696,2023,4,1,5,0,0,1,7,4,0,8,1,34,156,9.1,1,1,0,0,0,0,5,39,28,4,0,0,102,1,1,0,0,3,1,0,0,0,9,1,6,2,0,0,0,2,7,73,21,27,2,5,2,3,9,1,0,4,3,MAG,,4.82,1.29,.240,16.71,6.75,3.86,1.75,0.96,17.9,10.3,7.6,12,2,7,6,.270,69.0,5.19,4.15,4.39,104,96,120,112,2.00,25.9,44.4,22.2,7.4,0.17,54,52,65.4,34.6,28.8,13.5,18.6
155,660671,694,2023,11,3,13,2,1,1,5,8,0,18,1,54,227,13.0,0,1,0,0,0,0,12,64,39,11,0,0,131,0,1,0,1,11,5,0,0,1,13,0,7,5,3,0,0,2,8,99,20,50,11,13,2,4,13,2,0,9,7,ORI,,8.31,2.00,.330,17.46,3.46,5.54,0.62,0.69,7.8,12.5,-4.7,20,2,13,15,.350,54.7,6.00,5.63,6.20,60,83,89,79,1.33,26.0,40.0,30.0,4.0,0.07,96,79,57.7,42.3,20.2,8.8,14.1
9,660671,,2023,15,4,18,2,1,2,12,12,0,26,2,88,383,22.1,1,2,0,0,0,0,17,103,67,15,0,0,233,1,2,0,1,14,6,0,0,1,22,1,13,7,3,0,0,4,15,172,41,77,13,18,4,7,22,3,0,13,10,2 Teams,2,6.85,1.70,.300,17.15,4.84,4.84,1.00,0.81,11.7,11.7,0.0,32,4,20,21,.320,59.1,5.66,5.01,5.48,73,88,100,89,1.52,26.0,41.6,27.3,5.2,0.10,150,131,60.8,39.2,23.8,10.7,15.9
270,660689,699,2023,4,2,8,2,0,2,2,3,0,7,1,25,115,6.1,0,1,0,0,0,0,8,29,19,4,0,0,66,0,0,0,0,0,0,0,0,0,6,1,4,2,2,0,0,1,3,49,4,23,3,3,2,0,11,4,0,2,1,ARA,,11.37,1.58,.280,18.16,2.84,4.26,0.67,2.84,6.9,10.3,-3.4,12,2,2,7,.240,36.6,9.06,5.55,5.95,44,55,90,82,1.71,8.7,52.2,30.4,8.7,0.29,49,45,57.4,42.6,8.2,3.5,14.8
173,660689,698,2023,10,2,6,1,1,0,12,10,0,12,2,62,300,17.2,1,0,0,0,1,0,6,76,53,10,0,0,176,0,3,0,1,7,2,0,0,2,17,2,5,3,2,0,0,1,13,124,29,52,24,20,6,1,13,2,0,3,7,LAG,,3.06,1.25,.190,16.98,6.11,5.09,1.20,0.00,15.8,13.2,2.6,20,6,4,22,.230,75.0,4.37,5.05,5.33,163,114,99,92,0.91,7.7,38.5,42.3,11.5,0.00,124,95,58.7,41.3,23.4,9.7,17.3
10,660689,,2023,14,4,14,3,1,2,14,13,0,19,3,87,415,24.0,1,1,0,0,1,0,14,105,72,14,0,0,242,0,3,0,1,7,2,0,0,2,24,0,9,5,4,0,0,2,16,173,33,75,27,23,8,1,24,6,0,5,8,2 Teams,2,5.25,1.33,.220,17.29,5.25,4.88,1.08,0.75,13.3,12.4,0.9,32,8,6,29,.230,65.2,5.61,5.18,5.50,95,89,97,89,1.10,8.0,42.7,38.7,10.7,0.07,173,140,58.3,41.7,19.1,8.0,16.6
33,660751,696,2023,3,1,9,1,2,1,1,5,0,7,0,18,87,4.1,0,1,0,0,0,0,9,25,13,3,0,0,54,0,0,0,2,1,0,0,0,2,4,1,2,2,1,0,0,0,5,43,6,19,1,5,3,0,4,3,0,3,1,MAG,,18.69,2.77,.390,20.08,2.08,10.38,0.20,2.08,4.0,20.0,-16.0,5,3,3,8,.330,28.3,9.69,7.69,8.75,27,52,65,56,0.62,15.8,26.3,42.1,15.8,0.12,33,37,62.1,37.9,14.0,6.9,12.6
75,660761,697,2023,4,4,6,3,1,1,13,7,0,13,0,66,269,19.0,1,1,0,0,0,0,4,75,57,4,0,0,168,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,1,2,7,124,33,55,7,14,8,3,17,3,0,7,3,MAR,,1.89,1.05,.200,14.16,6.16,3.32,1.86,0.47,17.3,9.3,8.0,20,8,10,17,.220,75.3,4.11,3.91,4.57,265,122,128,107,1.18,18.2,36.4,30.9,14.5,0.06,101,91,62.5,37.5,26.6,12.3,16.4
119,660788,695,2023,13,7,27,9,1,5,32,17,0,61,2,192,743,48.1,3,2,0,0,0,0,25,212,145,13,0,0,475,0,0,0,0,1,0,0,1,0,48,1,7,5,6,3,2,7,33,345,65,161,38,46,6,9,39,9,0,31,21,CAR,,4.66,1.61,.320,15.37,5.96,3.17,1.88,0.93,15.1,8.0,7.1,60,6,40,55,.360,72.6,4.89,4.16,4.68,107,102,120,105,1.09,24.8,37.3,34.2,3.7,0.09,268,280,63.9,36.1,18.8,8.7,17.5
217,660799,693,2023,11,4,9,5,1,0,17,13,0,22,0,86,372,23.0,1,1,0,0,0,0,9,99,69,11,0,0,231,0,2,0,1,6,1,0,0,0,23,0,10,4,0,0,0,5,15,170,42,69,14,13,4,6,24,1,0,12,9,LAR,,3.52,1.52,.260,16.17,6.65,5.09,1.31,0.00,17.2,13.1,4.1,33,4,18,14,.320,74.3,3.91,4.24,4.68,142,128,118,105,2.36,26.1,47.8,20.3,5.8,0.00,141,128,62.1,37.9,24.7,11.3,16.4
63,660801,692,2023,4,3,12,0,0,2,11,9,0,17,0,54,251,13.0,1,2,0,0,0,0,10,65,39,4,0,0,152,1,1,0,0,0,0,0,1,1,13,0,6,3,0,1,0,1,9,97,15,45,8,9,4,3,12,4,0,5,8,ZUL,,6.92,2.00,.310,19.31,7.62,6.23,1.22,1.38,16.9,13.8,3.1,20,4,8,13,.360,60.3,6.07,4.62,5.02,72,82,108,98,1.54,17.8,44.4,28.9,8.9,0.15,99,82,60.6,39.4,15.5,6.0,21.9
21,660825,696,2023,14,0,10,4,5,1,7,4,1,20,1,61,235,14.2,2,0,0,0,2,0,10,69,44,14,0,0,159,1,1,0,0,9,5,0,1,2,14,2,2,0,0,0,0,1,10,119,22,57,20,10,4,0,23,4,0,13,3,MAG,,6.14,1.64,.330,16.02,4.30,2.45,1.75,0.61,10.1,5.8,4.3,26,4,13,14,.350,63.6,4.64,4.28,4.94,81,108,117,99,1.86,22.8,45.6,24.6,7.0,0.07,76,97,67.7,32.3,18.5,9.4,17.0
154,661156,694,2023,21,0,14,4,0,2,14,13,0,19,0,64,333,16.0,0,3,1,2,3,1,14,79,48,21,0,0,194,0,1,0,5,15,7,0,0,2,16,0,12,8,0,0,0,3,17,141,26,52,3,17,2,1,13,3,0,11,5,ORI,,7.88,2.00,.300,20.81,7.88,7.31,1.08,1.12,17.7,16.5,1.2,18,2,12,20,.340,61.6,6.00,5.06,5.32,63,83,99,92,0.90,23.1,34.6,38.5,3.8,0.10,139,115,58.3,41.7,18.4,7.8,15.9
31,663447,696,2023,3,2,7,1,0,1,2,6,0,8,0,19,101,3.2,0,0,0,0,0,0,7,25,11,3,0,0,57,0,1,0,0,0,0,0,0,0,3,2,3,1,1,0,0,0,6,42,6,17,2,2,0,1,6,3,1,3,1,MAG,,17.18,3.82,.420,27.55,4.91,14.73,0.33,2.45,8.0,24.0,-16.0,7,1,4,5,.440,55.6,11.05,8.25,7.48,29,45,61,66,1.40,23.5,41.2,29.4,5.9,0.20,44,36,56.4,43.6,14.3,5.9,14.9
38,663453,692,2023,3,0,1,0,0,0,2,2,0,2,0,10,46,3.0,1,0,0,0,1,0,0,12,9,3,0,0,28,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,2,19,4,8,6,3,0,1,2,0,0,0,2,ZUL,,0.00,1.33,.200,15.33,6.00,6.00,1.00,0.00,16.7,16.7,0.0,4,0,1,3,.250,75.0,4.36,4.90,5.30,0,115,102,92,1.33,12.5,50.0,37.5,0.0,0.00,18,15,60.9,39.1,21.1,8.7,19.6
