index,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
49,678287,692.0,2024,1,0,1,1,0,0,0,0,0,3,0,5,10,0.2,0,0,0,0,0,0,1,5,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,5,0,1,0,0,1,0,0,2,1,ZUL,,13.50,4.50,.600,15.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,2,0,2,1,.600,66.7,3.30,3.40,5.51,31,126,122,79,2.00,40.0,40.0,20.0,0.0,0.00,2,6,80.0,20.0,0.0,0.0,20.0
39,678640,692.0,2024,1,0,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,ZUL,,0.00,0.00,.000,3.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,0,1,0,0,.000,nan,3.30,3.30,14.67,42600,126,126,30,nan,0.0,0.0,0.0,100.0,nan,0,1,100.0,0.0,0.0,0.0,0.0
63,678789,695.0,2024,1,1,5,2,1,0,3,1,0,8,0,13,52,2.1,0,0,0,0,0,0,5,15,7,1,0,0,39,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,30,7,11,5,1,0,0,2,0,0,5,3,CAR,,19.29,3.86,.620,22.29,11.57,3.86,3.00,0.00,20.0,6.7,13.3,5,0,5,1,.730,44.4,2.01,2.04,3.29,22,207,204,133,5.00,45.5,45.5,9.1,0.0,0.00,13,23,75.0,25.0,23.3,13.5,17.3
21,678973,699.0,2024,1,0,2,0,0,0,0,0,0,2,0,4,16,0.2,0,1,0,0,0,0,2,4,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,8,1,4,0,1,0,1,0,0,0,1,1,ARA,,27.00,3.00,.500,24.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,1,0,2,1,.500,0.0,3.30,3.40,6.14,15,126,122,71,1.00,50.0,25.0,25.0,0.0,0.00,7,7,56.2,43.8,12.5,6.2,6.2
80,679338,693.0,2024,1,0,0,0,0,0,0,0,0,0,0,2,9,0.2,0,0,0,0,1,0,0,2,2,1,0,0,7,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,5,1,2,0,0,0,1,1,0,0,0,0,LAR,,0.00,0.00,.000,13.50,0.00,0.00,nan,0.00,0.0,0.0,0.0,1,0,1,0,.000,nan,3.30,3.30,3.55,42600,126,126,123,inf,50.0,50.0,0.0,0.0,nan,2,4,77.8,22.2,20.0,11.1,22.2
75,680632,694.0,2024,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORI,,nan,nan,nan,inf,nan,nan,nan,nan,0.0,0.0,0.0,0,0,0,0,nan,100.0,inf,inf,6.14,nan,0,0,71,nan,nan,nan,nan,nan,nan,1,0,0.0,100.0,nan,0.0,0.0
79,681458,693.0,2024,1,0,0,0,0,0,1,0,0,0,0,3,15,1.0,0,0,0,0,1,0,0,3,3,1,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,2,0,1,0,0,1,0,0,0,0,LAR,,0.00,0.00,.000,15.00,9.00,0.00,inf,0.00,33.3,0.0,33.3,1,0,0,1,.000,nan,1.30,1.36,1.33,42600,320,306,329,1.00,0.0,50.0,50.0,0.0,0.00,3,9,80.0,20.0,10.0,6.7,13.3
35,681617,698.0,2024,1,0,2,0,0,0,1,1,0,2,1,7,28,2.0,0,0,0,0,0,0,2,10,6,1,0,0,16,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,15,5,7,0,1,0,0,4,0,0,1,1,LAG,,9.00,1.50,.290,14.00,4.50,4.50,1.00,0.00,10.0,10.0,0.0,5,0,1,1,.290,50.0,5.30,5.33,4.05,46,78,78,108,5.00,14.3,71.4,14.3,0.0,0.00,12,10,57.1,42.9,33.3,17.9,3.6
26,681619,698.0,2024,2,0,0,0,0,0,1,0,0,0,0,9,27,3.0,0,0,0,0,0,0,0,9,9,2,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,2,8,1,4,0,0,4,0,0,0,0,LAG,,0.00,0.00,.000,9.00,3.00,0.00,inf,0.00,11.1,0.0,11.1,4,0,0,4,.000,nan,2.63,2.72,4.35,42600,158,153,101,1.00,0.0,50.0,50.0,0.0,0.00,8,12,70.4,29.6,14.3,7.4,18.5
53,682845,695.0,2024,1,0,0,0,0,0,2,0,0,0,0,3,11,1.0,0,0,0,0,0,0,0,3,3,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,1,0,0,0,0,CAR,,0.00,0.00,.000,11.00,18.00,0.00,inf,0.00,66.7,0.0,66.7,1,0,0,0,.000,nan,-0.70,-0.70,-0.89,42600,48700,48700,52800,inf,0.0,100.0,0.0,0.0,nan,3,4,72.7,27.3,33.3,18.2,18.2
16,682949,699.0,2024,1,0,0,0,0,0,2,1,0,1,0,6,25,1.2,1,0,0,0,0,0,0,7,5,1,0,0,14,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,12,3,4,0,2,0,0,1,0,0,0,1,ARA,,0.00,1.20,.170,15.00,10.80,5.40,2.00,0.00,28.6,14.3,14.3,2,0,0,2,.250,100.0,2.70,2.78,3.55,42600,154,150,123,1.00,0.0,50.0,50.0,0.0,0.00,11,9,56.0,44.0,25.0,12.0,8.0
68,683014,694.0,2024,1,0,0,0,0,0,1,0,0,0,0,4,25,1.1,1,0,0,0,0,0,0,4,4,1,0,0,15,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,2,3,1,1,0,0,2,0,0,0,0,ORI,,0.00,0.00,.000,18.75,6.75,0.00,inf,0.00,25.0,0.0,25.0,2,0,0,1,.000,nan,1.80,1.85,2.13,42600,231,225,206,2.00,0.0,66.7,33.3,0.0,0.00,10,8,60.0,40.0,20.0,8.0,20.0
48,683020,692.0,2024,1,0,2,2,0,0,1,0,0,4,0,9,28,1.2,0,1,0,0,0,0,2,9,5,1,0,0,22,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,19,1,8,3,0,0,0,4,1,0,1,2,ZUL,,10.80,2.40,.440,16.80,5.40,0.00,inf,0.00,11.1,0.0,11.1,6,0,1,1,.500,50.0,2.10,2.14,1.89,39,198,194,232,6.00,12.5,75.0,12.5,0.0,0.00,6,18,78.6,21.4,5.3,3.6,10.7
30,686402,698.0,2024,1,0,0,0,0,0,0,0,0,0,0,1,5,0.1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,LAG,,0.00,0.00,.000,15.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,1,0,0,0,.000,nan,3.30,3.30,-2.38,42600,126,126,67700,inf,0.0,100.0,0.0,0.0,nan,3,1,40.0,60.0,0.0,0.0,20.0
84,690345,693.0,2024,1,0,2,0,0,0,0,1,0,2,0,3,17,0.1,0,0,0,0,1,0,2,4,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,7,2,3,0,0,0,0,1,0,0,2,0,LAR,,54.00,9.00,.670,51.00,0.00,27.00,0.00,0.00,0.0,25.0,-25.0,1,0,2,0,.670,33.3,12.30,12.30,7.80,8,34,34,56,inf,66.7,33.3,0.0,0.0,nan,7,5,58.8,41.2,28.6,11.8,17.6
